run,document,registration_status,registration_reason,scope,field_or_line,engine,role,attempt_order,result,reason,value,claim_disposition,total_charge_disp,total_charge_value,gap_classes,service_line_charges,router_reason
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,insured_id_number,paddleocr,primary,1,SUCCESS,OBSERVED,967140950,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,POLICY_SATISFIED
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,patient_name,paddleocr,primary,1,SUCCESS,OBSERVED,RENTER. ROVINSKI,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,POLICY_SATISFIED
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,patient_name,rapidocr,confirmation,2,SUCCESS,OBSERVED,RENTER ROVINSKI,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,POLICY_SATISFIED
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,patient_dob,paddleocr,primary,1,EMPTY_OBSERVED,OBSERVED,,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,POLICY_SATISFIED
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,patient_dob,rapidocr,confirmation,2,SUCCESS,OBSERVED,01/19/1960,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,POLICY_SATISFIED
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,insured_name,paddleocr,primary,1,SUCCESS,OBSERVED,RENTER ROVINSKI,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,POLICY_SATISFIED
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,total_charge,tesseract_digits,fill_fallback,1,ATTEMPTED,PSM_8,,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,CHARGE_DIGITS_FAST|EXHAUSTED|CHARGE_PADDLE_AFTER_EMPTY
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,total_charge,paddleocr,confirmation,2,EMPTY_OBSERVED,OBSERVED,,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,CHARGE_DIGITS_FAST|EXHAUSTED|CHARGE_PADDLE_AFTER_EMPTY
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,total_charge,rapidocr,fallback,3,EMPTY_OBSERVED,OBSERVED,,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,CHARGE_DIGITS_FAST|EXHAUSTED|CHARGE_PADDLE_AFTER_EMPTY
hackathon_empty_finance_gpt_smoke,Group A/M048DJJF.006,OK,,field,total_charge,paddleocr,fallback,4,EMPTY_OBSERVED,OBSERVED,,HITL,ESCALATE,297.00,LINE_SUM_UNCORROBORATED,2,CHARGE_DIGITS_FAST|EXHAUSTED|CHARGE_PADDLE_AFTER_EMPTY
